연번 ,구분 ,운영노선명 ,역명,지상 또는 지하 구분,역층,게이트 내외 구분,(근접) 출입구 번호,상세위치 ,전화번호 ,개방시간 
214,공중화장실(장애인),6호선,광흥창,지하,2,외부,1 또는2 또는5 또는6,대합실 2층 (1256번출구방향),02-6311-6241,05:00~24:00
215,공중화장실(장애인),6호선,대흥,지하,1,외부,4,대합실 1층 4번출구 앞,02-6311-6251,05:00~24:00
216,공중화장실(장애인),6호선,공덕,지하,1,외부,7,대합실 1층 7번출구 앞,02-6311-5291,05:00~24:00
217,공중화장실(장애인),6호선,효창공원앞,지하,1,외부,3 또는6,"대합실 1층 3,6번 출구 앞",02-6311-6271,05:00~24:00
218,공중화장실(장애인),6호선,삼각지,지하,1,외부,7 또는8,"대합실 1층 7,8번 출구 측면",02-6311-6281,05:00~24:00
219,공중화장실(장애인),6호선,녹사평,지하,1,외부,1 또는2,"대합실 지하1층 1,2번 출구 진입 방향",02-6311-6292,05:00~24:00
220,공중화장실(장애인),6호선,이태원,지하,1,외부,3,B1 대합실 E/S 옆,02-6311-6301,05:00~24:00
221,공중화장실(장애인),6호선,한강진,지하,1,내부,1 또는2 또는3,대합실 B1층 임대상가(gs25)옆,02-6311-6311,05:00~24:00
222,공중화장실(장애인),6호선,버티고개,지하,1,외부,1,대합실 1층 1번출구 앞,02-6311-6321,05:00~24:00
223,공중화장실(장애인),6호선,약수,지하,1,외부,7 또는8,"대합실 B1 7,8번 출구앞",02-6311-6331,05:00~24:00
224,공중화장실(장애인),6호선,청구,지하,1,외부,1,B1 대합실 1번출구 나가는 방향 맞은편 위치,02-6311-5371,05:00~24:00
225,공중화장실(장애인),6호선,신당,지하,1,외부,5 또는6 또는7 또는8,대합실 B1층 5~8번출구 나가는 방향 계단 하부,02-6311-6351,05:00~24:00
226,공중화장실(장애인),6호선,동묘앞,지하,1,외부,7,대합실 1층 7번출구 앞,02-6311-6361,05:00~24:00
227,공중화장실(장애인),6호선,창신,지하,1,내부,3 또는4,대합실 1층 E/V1호기 뒷편,02-6311-6371,05:00~24:00
228,공중화장실(장애인),6호선,보문,지하,2,외부,1 또는2,지하2층 대합실 아이센터 옆,02-6311-6381,05:00~24:00
229,공중화장실(장애인),6호선,안암,지하,1,외부,3 또는4,"대합실 B1층 3,4번출구 계단 인근",02-6311-6391,05:00~24:00
230,공중화장실(장애인),6호선,안암,지하,2,내부,3 또는4,대합실 B2층 봉화산방면 승강장 계단 인근,02-6311-6391,05:00~24:00
231,공중화장실(장애인),6호선,고려대,지하,1,내부,2,지하 1층 대합실(게이트 안),02-6311-6401,05:00~24:00
232,공중화장실(장애인),6호선,월곡,지하,1,외부,1 또는2 또는3,지하 1층,02-6311-6411,05:00~24:00
233,공중화장실(장애인),6호선,상월곡,지하,2,외부,1 또는4,"지하 2층 대합실(1, 4번출구방면)",02-6311-6421,05:00~24:00
234,공중화장실(장애인),6호선,돌곶이,지하,1,외부,6 또는7,"지하 1층 대합실(6,7번출구 사이)",02-6311-6431,05:00~24:00
235,공중화장실(장애인),6호선,석계,지하,1,외부,7,지하 1층 대합실(7번출구 앞),02-6311-6441,05:00~24:00
236,공중화장실(장애인),6호선,석계,지하,2,내부,2 또는3,지하 2층 대합실(환승통로),02-6311-6441,05:00~24:00
237,공중화장실(장애인),6호선,태릉입구,지하,1,외부,1,대합실 지하1층 아이센터 옆,02-6311-7171,05:00~24:00
238,공중화장실(장애인),6호선,화랑대,지하,1,외부,6 또는7,지하 1층 대합실(게이트 밖),02-6311-6461,05:00~24:00
239,공중화장실(장애인),6호선,봉화산,지하,1,외부,2 또는3,지하 1층 대합실(고객상담실 옆),02-6311-6471,05:00~24:00
240,공중화장실(장애인),7호선,장암,지상,1,외부,1,1층 게이트 옆,02-6311-7091,05:00~24:00
241,공중화장실(장애인),7호선,도봉산,지상,1,외부,1-1,지상1층 대합실 앞,02-6311-7101,05:00~24:00
242,공중화장실(장애인),7호선,도봉산,지상,1,내부,2,지상1층 환승통로,02-6311-7101,05:00~24:00
243,공중화장실(장애인),7호선,수락산,지하,2,외부,5,대합실 지하2층 고객상담실 앞,02-6311-7111,05:00~24:00
244,공중화장실(장애인),7호선,마들,지하,2,외부,4 또는5,대합실 B2 에스컬레이터 앞,02-6311-7121,05:00~24:00
245,공중화장실(장애인),7호선,노원,지하,2,외부,6,"지하2층대합실, 가아이센터앞",02-6311-7131,05:00~24:00
246,공중화장실(장애인),7호선,중계,지하,1,외부,1,지하1층 1번출구 옆,02-6311-7141,05:00~24:00
247,공중화장실(장애인),7호선,하계,지하,1,외부,4,지하1층 4번출구,02-6311-7151,05:00~24:00
248,공중화장실(장애인),7호선,공릉,지하,1,외부,1 또는2,지하1층 아이센터 앞,02-6311-7161,05:00~24:00
249,공중화장실(장애인),7호선,태릉입구,지하,3,외부,2 또는3,대합실 지하3층 고객상담실 앞,02-6311-7171,05:00~24:00
250,공중화장실(장애인),7호선,먹골,지하,1,외부,1 또는2,B1층 대합실,02-6311-7181,05:00~24:00
251,공중화장실(장애인),7호선,중화,지하,1,외부,2,B1층  2번출구 방향,02-6311-7191,05:00~24:00
252,공중화장실(장애인),7호선,상봉,지하,1,내부,1 또는2 또는5 또는6,"B1층  1,2,5,6번출구앞",02-6311-7201,05:00~24:00
253,공중화장실(장애인),7호선,면목,지하,1,외부,3,B1층 아이센터 앞,02-6311-7211,05:00~24:00
254,공중화장실(장애인),7호선,사가정,지하,1,외부,1,B1층  1번출구 앞,02-6311-7221,05:00~24:00
255,공중화장실(장애인),7호선,용마산,지하,1,외부,1,B1층  1번출구 앞,02-6311-7231,05:00~24:00
256,공중화장실(장애인),7호선,중곡,지하,2,외부,1 또는2 또는3,B2층  게이트 앞,02-6311-7241,05:00~24:00
257,공중화장실(장애인),7호선,어린이대공원,지하,2,외부,1 또는6,B2층  아이센터 옆,02-6311-7261,05:00~24:00
258,공중화장실(장애인),7호선,건대입구,지하,2,내부,3,B2층 게이트 옆,02-6311-7271,05:00~24:00
259,공중화장실(장애인),7호선,뚝섬유원지,지상,2,내부,1 또는4,지상2층 대합실,02-6311-7281,05:00~24:00
260,공중화장실(장애인),7호선,청담,지하,3,외부,3 또는12,B3 대합실 나 I센터 옆,02-6311-7291,05:00~24:00
261,공중화장실(장애인),7호선,강남구청,지하,1,외부,1 또는4,B1층 대합실 가아이센터 맞은편,02-6311-7301,05:00~24:00
262,공중화장실(장애인),7호선,학동,지하,2,외부,1 또는2,"B2 1,2번 출구 계단 옆",02-6311-7311,05:00~24:00
263,공중화장실(장애인),7호선,논현,지하,1,외부,7 또는8,"대합실 1층 7,8번 출구 근처",02-6311-7321,05:00~24:00
264,공중화장실(장애인),7호선,논현,지하,2,외부,7 또는8,대합실 2층 왓슨스 매장 뒤편,02-6311-7321,05:00~24:00
265,공중화장실(장애인),7호선,반포,지하,2,외부,1 또는2 또는5 또는6,대합실 지하2층 계단 옆,02-6311-7331,05:00~24:00
266,공중화장실(장애인),7호선,고속터미널,지하,1,외부,3,대합실 1층 3번출구 왼쪽,02-6311-7341,05:00~24:00
267,공중화장실(장애인),7호선,내방,지하,1,외부,5 또는6 또는7 또는8,대합실 지하1층 5~8번출구방면,02-6311-7351,05:00~24:00
268,공중화장실(장애인),7호선,이수,지하,1,외부,7 또는8,지하1층 연결통로,02-6311-7361,05:00~24:00
269,공중화장실(장애인),7호선,이수,지하,3,내부,7 또는8,지하3층 (가)게이트안쪽 상선 내부계단 옆,02-6311-7361,05:00~24:00
270,공중화장실(장애인),7호선,남성,지하,2,내부,2 또는3,대합실 상선 내부계단 옆,02-6311-7371,05:00~24:00
271,공중화장실(장애인),7호선,숭실대입구,지하,2,외부,1 또는2 또는3 또는4,대합실2층,02-6311-7381,05:00~24:00
272,공중화장실(장애인),7호선,상도,지하,2,외부,3 또는4 또는5,지하 2층 대합실 계단좌측,02-6311-7391,05:00~24:00
273,공중화장실(장애인),7호선,장승배기,지하,2,외부,5 또는6,"지하2층 대합실 5,6번 출구방향 내부계단 옆",02-6311-7401,05:00~24:00
274,공중화장실(장애인),7호선,신대방삼거리,지하,2,외부,1 또는2,대합실 2층,02-6311-7411,05:00~24:00
275,공중화장실(장애인),7호선,보라매,지하,1,외부,3,대합실 1층 3번출구 방향,02-6311-7421,05:00~24:00
276,공중화장실(장애인),7호선,신풍,지하,1,외부,5,대합실 1층 5번출구방향,02-6311-7431,05:00~24:00
277,공중화장실(장애인),7호선,대림,지하,1,외부,9 또는10,대합실 1층,02-6311-7441,05:00~24:00
278,공중화장실(장애인),7호선,남구로,지하,1,외부,2 또는3 또는4 또는5,"대합실 1층 2~5번출구 방향(E/S 7,8호기 옆)",02-6311-7451,05:00~24:00
279,공중화장실(장애인),7호선,가산디지털단지,지하,1,외부,4,대합실 1층 4번출구 방향,02-6311-7461,05:00~24:00
280,공중화장실(장애인),7호선,철산,지하,1,외부,3,대합실 1층 3번 출구 방향,02-6311-7471,05:00~24:00
281,공중화장실(장애인),7호선,광명사거리,지하,2,외부,4 또는5,대합실 2층 연결통로( 가-ⓘ센터와 나-ⓘ센터 중간지점),02-6311-7481,05:00~24:00
282,공중화장실(장애인),7호선,천왕,지하,1,외부,2,대합실 1층 2번 출구 방향,02-6311-7491,05:00~24:00
283,공중화장실(장애인),7호선,온수,지하,1,외부,4,대합실 1층 4번출구 방향,02-6311-7551,05:00~24:00
284,공중화장실,8호선,암사역사공원역,지하,1,외부,3,대합실 B1층 3번 출구 방향,02-6311-8091,05:00~24:00
285,공중화장실(장애인),8호선,암사,지하,1,외부,2,대합실 B1층 2번 출구 방향,02-6311-8101,05:00~24:00
286,공중화장실(장애인),8호선,강동구청,지하,2,외부,4 또는5,대합실 B2층 게이트 옆,02-6311-8121,05:00~24:00
287,공중화장실(장애인),8호선,몽촌토성,지하,1,외부,1 또는2 또는3,"대합실 B1층 1,2,3번 출구 방향",02-6311-8131,05:00~24:00
288,공중화장실(장애인),8호선,잠실,지하,1,외부,11,B1층 11번 출구 옆,02-6311-8141,05:00~24:00
289,공중화장실(장애인),8호선,석촌,지하,1,외부,7 또는8,대합실 B1층 게이트 옆,02-6311-8151,05:00~24:00
290,공중화장실(장애인),8호선,송파,지하,1,외부,1,대합실 B1층 1번출구 방향,02-6311-8161,05:00~24:00
291,공중화장실(장애인),8호선,가락시장,지하,1,외부,2-1,B1층 대합실과 가락몰 연결통로 사이,02-6311-8171,05:00~24:00
292,공중화장실(장애인),8호선,문정,지하,1,외부,2,대합실 B1층 2번출구 방향,02-6311-8181,05:00~24:00
293,공중화장실(장애인),8호선,문정,지하,1,외부,4,대합실 B1층 4번출구 방향,02-6311-8181,05:00~24:00
294,공중화장실(장애인),8호선,장지,지하,1,외부,3 또는4,"대합실 B1층 3,4번출구 방면",02-6311-8191,05:00~24:00
295,공중화장실(장애인),8호선,복정,지하,1,외부,1,대합실 지하1층 아이센터 근처,02-6311-8201,05:00~24:00
296,공중화장실(장애인),8호선,남위례,지상,2,외부,1,대합실 지상2층 주출입구 근처,02-6311-8211,05:00~24:00
297,공중화장실(장애인),8호선,산성,지하,1,외부,1 또는2,"B1층 1,2번 출구 계단 오른쪽",02-6311-8211,05:00~24:00
298,공중화장실(장애인),8호선,남한산성입구,지하,2,외부,1 또는2,대합실 지하2층 에스컬레이터 근처,02-6311-8221,05:00~24:00
299,공중화장실(장애인),8호선,단대오거리,지하,1,외부,6 또는7,대합실 지하1층 2호기E/V 옆,02-6311-8231,05:00~24:00
300,공중화장실(장애인),8호선,신흥,지하,1,외부,1 또는2,"B1층 대합실 1,2번 출구방면",02-6311-8241,05:00~24:00
301,공중화장실(장애인),8호선,수진,지하,1,외부,1 또는2,대합실 지하1층 편의점 옆,02-6311-8251,05:00~24:00
302,공중화장실(장애인),8호선,모란,지하,2,외부,10 또는11,B2층 대합실 상행 E/S 옆,02-6311-8261,05:00~24:00
